iso3c,country,SNAU_2016,SNAU_2017,SNAU_2018,SNAU_2019,SPI.D1.1.SNAU_2016,SPI.D1.1.SNAU_2017,SPI.D1.1.SNAU_2018,SPI.D1.1.SNAU_2019
SMR,San Marino,SNA 1993,SNA 1993,SNA 1993,NA,0.5,0.5,0.5,NA
NA,São Tomé and Principe,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
SAU,Saudi Arabia,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
SEN,Senegal,SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
SRB,Serbia,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
SYC,Seychelles,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
SLE,Sierra Leone,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
SGP,Singapore,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
SVK,Slovak Republic,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
SVN,Slovenia,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
SLB,Solomon Islands,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
SOM,Somalia,SNA 1968,SNA 1968,SNA 1968,SNA 1968,0,0,0,0
ZAF,South Africa,SNA 2008,SNA 2008,SNA 2008,SNA 2008,1,1,1,1
SSD,South Sudan,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
ESP,Spain,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
LKA,Sri Lanka,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
KNA,St. Kitts and Nevis,SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
LCA,St. Lucia,SNA 1968,SNA 1968,SNA 1993,SNA 2008,0,0,0.5,1
VCT,St. Vincent and the Grenadines,SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
SDN,Sudan,SNA 1968,SNA 1968,SNA 1968,SNA 1968,0,0,0,0
SUR,Suriname,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
NA,Swaziland,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
SWE,Sweden,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
CHE,Switzerland,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
SYR,Syrian Arab Republic,SNA 1968,SNA 1968,SNA 1968,SNA 1968,0,0,0,0
TJK,Tajikistan,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
TZA,Tanzania,SNA 2008,SNA 2008,SNA 1993,SNA 1993,1,1,0.5,0.5
THA,Thailand,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
TLS,Timor-Leste,SNA 2008,SNA 2008,SNA 2008,SNA 2008,1,1,1,1
TGO,Togo,SNA 1968,SNA 1968,SNA 1993,SNA 2008,0,0,0.5,1
TON,Tonga,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
TTO,Trinidad and Tobago,SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
TUN,Tunisia,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
TUR,Turkey,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
TKM,Turkmenistan,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
TUV,Tuvalu,SNA 1968,SNA 1968,SNA 1968,SNA 1968,0,0,0,0
UGA,Uganda,SNA 2008,SNA 2008,SNA 2008,SNA 2008,1,1,1,1
UKR,Ukraine,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
ARE,United Arab Emirates,SNA 1993,SNA 1993,SNA 1993,NA,0.5,0.5,0.5,NA
GBR,United Kingdom,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
USA,United States,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
URY,Uruguay,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
UZB,Uzbekistan,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
VUT,Vanuatu,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
VEN,"Venezuela, RB",SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
VNM,Vietnam,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
PSE,West Bank and Gaza,SNA 1968,SNA 1968,SNA 1968,SNA 1968,0,0,0,0
YEM,"Yemen, Rep.",SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
ZMB,Zambia,SNA 2008,SNA 2008,SNA 2008,SNA 2008,1,1,1,1
ZWE,Zimbabwe,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
