iso3c,country,CNIN_2016,CNIN_2017,CNIN_2018,CNIN_2019,SPI.D1.3.CNIN_2016,SPI.D1.3.CNIN_2017,SPI.D1.3.CNIN_2018,SPI.D1.3.CNIN_2019
LSO,Lesotho,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
LBR,Liberia,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
LBY,Libya,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
LTU,Lithuania,rev4,Rev4,Rev4,NA,1,1,1,NA
LUX,Luxembourg,rev4,Rev4,Rev4,NA,1,1,1,NA
MDG,Madagascar,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,0,0,0,0
MWI,Malawi,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
MYS,Malaysia,rev4,Rev4,Rev4,rev4,1,1,1,1
MDV,Maldives,NA,NA,NA,rev4,0,0,0,1
MLI,Mali,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
MLT,Malta,rev4,Rev4,Rev4,NA,1,1,1,NA
MHL,Marshall Islands,NA,NA,NA,NA,0,0,0,0
MRT,Mauritania,rev4,Rev4,Rev4,rev4,1,1,1,1
MUS,Mauritius,rev4,Rev4,Rev4,rev4,1,1,1,1
MEX,Mexico,rev4,Rev4,Rev4,rev4,1,1,1,1
FSM,"Micronesia, Fed. Sts.",NA,NA,NA,NA,0,0,0,0
MDA,Moldova,rev4,nace rev2,nace rev2,rev4,1,1,1,1
MNG,Mongolia,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
MNE,Montenegro,rev4,Rev4,Rev4,rev4,1,1,1,1
MAR,Morocco,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
MOZ,Mozambique,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
MMR,Myanmar,na,NA,NA,na,0,0,0,0
NAM,Namibia,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
NRU,Nauru,NA,NA,NA,NA,0,0,0,0
NPL,Nepal,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
NLD,Netherlands,rev4,Rev4,Rev4,NA,1,1,1,NA
NZL,New Zealand,rev4,Rev4,Rev4,NA,1,1,1,NA
NIC,Nicaragua,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
NER,Niger,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
NGA,Nigeria,rev4,Rev4,Rev4,rev4,1,1,1,1
MKD,North Macedonia,rev4,nace rev2,nace rev2,rev4,1,1,1,1
NOR,Norway,rev4,Rev4,Rev4,NA,1,1,1,NA
OMN,Oman,rev3,rev3,rev3,NA,0.5,0.5,0.5,NA
PAK,Pakistan,rev4,rev4,rev4,rev4,1,1,1,1
PLW,Palau,NA,NA,NA,rev4,0,0,0,1
PAN,Panama,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
PNG,Papua New Guinea,NA,NA,NA,NA,0,0,0,0
PRY,Paraguay,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
PER,Peru,rev4,Rev4,Rev4,rev4,1,1,1,1
PHL,Philippines,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
POL,Poland,rev4,Rev4,Rev4,rev4,1,1,1,1
PRT,Portugal,rev4,Rev4,Rev4,NA,1,1,1,NA
QAT,Qatar,rev3,Rev3,Rev3,NA,0.5,0.5,0.5,NA
ROU,Romania,rev4,Rev4,Rev4,rev4,1,1,1,1
RUS,Russian Federation,rev3,NACE Rev2,NACE Rev2,NACE REV2,0.5,1,1,1
RWA,Rwanda,rev4,rev4,rev4,rev4,1,1,1,1
WSM,Samoa,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
SMR,San Marino,nace rev1,nace rev1,nace rev1,NA,0.5,0.5,0.5,NA
STP,Sao Tome and Principe,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
SAU,Saudi Arabia,rev3,Rev3,Rev3,NA,0.5,0.5,0.5,NA
SEN,Senegal,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
SRB,Serbia,rev4,Rev4,Rev4,rev4,1,1,1,1
SYC,Seychelles,rev4,rev4,rev4,rev4,1,1,1,1
SLE,Sierra Leone,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
SGP,Singapore,rev4,rev4,rev4,NA,1,1,1,NA
SVK,Slovak Republic,rev4,nace rev2,nace rev2,NA,1,1,1,NA
SVN,Slovenia,rev4,Rev4,Rev4,NA,1,1,1,NA
SLB,Solomon Islands,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
SOM,Somalia,na,NA,NA,na,0,0,0,0
ZAF,South Africa,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
SSD,South Sudan,NA,NA,NA,NA,0,0,0,0
ESP,Spain,rev4,Rev4,Rev4,NA,1,1,1,NA
LKA,Sri Lanka,rev4,rev4,rev4,rev4,1,1,1,1
KNA,St. Kitts and Nevis,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
LCA,St. Lucia,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
VCT,St. Vincent and the Grenadines,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
SDN,Sudan,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,0,0,0,0
SUR,Suriname,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
SWE,Sweden,rev4,Rev4,Rev4,NA,1,1,1,NA
CHE,Switzerland,rev4,Rev4,Rev4,NA,1,1,1,NA
SYR,Syrian Arab Republic,na,rev3,rev3,rev3,0,0.5,0.5,0.5
TJK,Tajikistan,na,NA,NA,na,0,0,0,0
TZA,Tanzania,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
THA,Thailand,rev4,rev4,rev4,rev4,1,1,1,1
TLS,Timor-Leste,rev4,rev4,rev4,rev4,1,1,1,1
TGO,Togo,rev4,Rev4,Rev4,rev4,1,1,1,1
TON,Tonga,rev1,rev1,rev1,rev1,0,0,0,0
TTO,Trinidad and Tobago,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
TUN,Tunisia,rev4,Rev4,Rev4,rev4,1,1,1,1
TUR,Turkey,rev4,Rev4,Rev4,rev4,1,1,1,1
TKM,Turkmenistan,na,NA,NA,na,0,0,0,0
TUV,Tuvalu,na,NA,NA,na,0,0,0,0
UGA,Uganda,na,NA,NA,na,0,0,0,0
UKR,Ukraine,rev4,Rev4,Rev4,rev4,1,1,1,1
ARE,United Arab Emirates,rev4,rev4,rev4,NA,1,1,1,NA
GBR,United Kingdom,rev4,Rev4,Rev4,NA,1,1,1,NA
USA,United States,rev4,Rev4,Rev4,NA,1,1,1,NA
URY,Uruguay,ISIC rev2,rev3,rev3,rev3,0,0.5,0.5,0.5
UZB,Uzbekistan,nace rev2,nace rev2,nace rev2,nace rev2,1,1,1,1
VUT,Vanuatu,na,NA,NA,na,0,0,0,0
VEN,"Venezuela, RB",ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,0,0,0,0
VNM,Vietnam,rev4,rev4,rev4,rev4,1,1,1,1
PSE,West Bank and Gaza,rev4,rev4,rev4,rev4,1,1,1,1
YEM,"Yemen, Rep.",rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
ZMB,Zambia,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
ZWE,Zimbabwe,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
