iso3c,country,MONY_2016,MONY_2017,MONY_2018,SPI.D1.9.MONY_2016,SPI.D1.9.MONY_2017,SPI.D1.9.MONY_2018
GRC,Greece,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
GRD,Grenada,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
GTM,Guatemala,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
GIN,Guinea,0,NM,NM,0,0,0
GNB,Guinea-Bissau,0,MFSM 2000,MFSM 2000,0,1,1
GUY,Guyana,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
HTI,Haiti,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
HND,Honduras,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
HUN,Hungary,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ISL,Iceland,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
IND,India,0,NM,NM,0,0,0
IDN,Indonesia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
IRN,"Iran, Islamic Rep.",0,NM,NM,0,0,0
IRQ,Iraq,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
IRL,Ireland,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ISR,Israel,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ITA,Italy,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
JAM,Jamaica,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
JPN,Japan,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
JOR,Jordan,0,NM,NM,0,0,0
KAZ,Kazakhstan,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
KEN,Kenya,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
KIR,Kiribati,0,NM,NM,0,0,0
KOR,"Korea, Rep.",MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
XKX,Kosovo,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
KWT,Kuwait,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
KGZ,Kyrgyz Republic,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
LAO,Lao PDR,0,NM,NM,0,0,0
LVA,Latvia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
LBN,Lebanon,0,NM,NM,0,0,0
LSO,Lesotho,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
LBR,Liberia,0,NM,NM,0,0,0
LBY,Libya,0,NM,NM,0,0,0
LTU,Lithuania,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
LUX,Luxembourg,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
MKD,"Macedonia, FYR",0,MFSM 2000,MFSM 2000,0,1,1
MDG,Madagascar,0,MFSMCG 2016,MFSMCG 2016,0,1,1
MWI,Malawi,0,NM,NM,0,0,0
MYS,Malaysia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
MDV,Maldives,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
MLI,Mali,0,MFSM 2000,MFSM 2000,0,1,1
MLT,Malta,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
MHL,Marshall Islands,0,NM,NM,0,0,0
MRT,Mauritania,0,NM,NM,0,0,0
MUS,Mauritius,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
MEX,Mexico,MFSM 2000,MFSM 2000,MFSMCG 2016,1,1,1
FSM,"Micronesia, Fed. Sts.",0,NM,NM,0,0,0
MDA,Moldova,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
MNG,Mongolia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
MNE,Montenegro,0,NM,NM,0,0,0
MAR,Morocco,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
MOZ,Mozambique,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
MMR,Myanmar,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
NAM,Namibia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
NRU,Nauru,0,NA,NA,0,0,0
NPL,Nepal,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
NLD,Netherlands,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
NZL,New Zealand,0,MFSM 2000,MFSM 2000,0,1,1
NIC,Nicaragua,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
NER,Niger,0,MFSM 2000,MFSM 2000,0,1,1
NGA,Nigeria,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
NOR,Norway,0,MFSM 2000,MFSM 2000,0,1,1
OMN,Oman,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
PAK,Pakistan,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
PLW,Palau,0,NM,NM,0,0,0
PAN,Panama,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
PNG,Papua New Guinea,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
PRY,Paraguay,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
PER,Peru,0,NM,MFSM 2000,0,0,1
PHL,Philippines,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
POL,Poland,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
PRT,Portugal,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
QAT,Qatar,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ROU,Romania,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
RUS,Russian Federation,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
RWA,Rwanda,0,MFSM 2000,MFSM 2000,0,1,1
WSM,Samoa,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SMR,San Marino,0,MFSM 2000,MFSM 2000,0,1,1
STP,São Tomé and Principe,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SAU,Saudi Arabia,0,NM,NM,0,0,0
SEN,Senegal,0,MFSM 2000,MFSM 2000,0,1,1
