iso3c,country,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018
PSE,West Bank and Gaza,54.166666666666664,54.166666666666664,58.333333333333336
QAT,Qatar,37.5,33.33333333333333,33.33333333333333
ROU,Romania,66.66666666666666,66.66666666666666,79.16666666666666
RUS,Russian Federation,79.16666666666666,83.33333333333334,83.33333333333334
RWA,Rwanda,37.5,45.83333333333333,41.66666666666667
SAU,Saudi Arabia,29.166666666666668,29.166666666666668,29.166666666666668
SDN,Sudan,16.666666666666664,16.666666666666664,16.666666666666664
SEN,Senegal,29.166666666666668,41.66666666666667,41.66666666666667
SGP,Singapore,62.5,62.5,62.5
SLB,Solomon Islands,25,20.833333333333336,20.833333333333336
SLE,Sierra Leone,25,20.833333333333336,20.833333333333336
SLV,El Salvador,50,50,58.333333333333336
SMR,San Marino,50,58.333333333333336,58.333333333333336
SOM,Somalia,0,0,0
SRB,Serbia,66.66666666666666,75,79.16666666666666
SSD,South Sudan,20.833333333333336,20.833333333333336,25
STP,São Tomé and Principe,29.166666666666668,33.33333333333333,41.66666666666667
SUR,Suriname,50,50,45.83333333333333
SVK,Slovak Republic,91.66666666666666,100,100
SVN,Slovenia,83.33333333333334,83.33333333333334,83.33333333333334
SWE,Sweden,91.66666666666666,91.66666666666666,91.66666666666666
SWZ,Swaziland,33.33333333333333,33.33333333333333,37.5
SYC,Seychelles,62.5,58.333333333333336,58.333333333333336
SYR,Syrian Arab Republic,20.833333333333336,25,25
TCD,Chad,16.666666666666664,16.666666666666664,16.666666666666664
TGO,Togo,25,33.33333333333333,37.5
THA,Thailand,66.66666666666666,66.66666666666666,66.66666666666666
TJK,Tajikistan,45.83333333333333,45.83333333333333,45.83333333333333
TKM,Turkmenistan,4.166666666666666,4.166666666666666,4.166666666666666
TLS,Timor-Leste,50,50,50
TON,Tonga,25,33.33333333333333,33.33333333333333
TTO,Trinidad and Tobago,37.5,37.5,41.66666666666667
TUN,Tunisia,25,25,33.33333333333333
TUR,Turkey,79.16666666666666,87.5,100
TUV,Tuvalu,8.333333333333332,8.333333333333332,8.333333333333332
TZA,Tanzania,50,50,37.5
UGA,Uganda,58.333333333333336,54.166666666666664,54.166666666666664
UKR,Ukraine,75,83.33333333333334,87.5
URY,Uruguay,37.5,37.5,37.5
USA,United States,79.16666666666666,79.16666666666666,79.16666666666666
