iso3c,country,SPI.OVRL.SCR_2016,SPI.OVRL.SCR_2017,SPI.OVRL.SCR_2018,SPI.OVRL.SCR_2019,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018,SPI.D1.MSC_2019,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
BIH,Bosnia and Herzegovina,60.45014880952381,58.34077380952381,66.52901785714286,69.00669642857143,66.66666666666666,66.66666666666666,62.5,62.5,70,65,60,60,76.5625,73.125,72.1875,67.8125,28.57142857142857,28.57142857142857,71.42857142857143,85.71428571428571
BLR,Belarus,64.96279761904762,64.85863095238095,74.13690476190476,73.61607142857143,83.33333333333334,79.16666666666666,83.33333333333334,87.5,48.75,52.5,56.25,52.5,70.625,70.625,71.25,68.75,57.14285714285714,57.14285714285714,85.71428571428571,85.71428571428571
BLZ,Belize,46.59970238095239,47.53720238095239,58.2514880952381,56.6889880952381,29.166666666666668,29.166666666666668,29.166666666666668,29.166666666666668,56.25,60,60,56.25,58.12500000000001,58.12500000000001,58.12500000000001,55.625,42.857142857142854,42.857142857142854,85.71428571428571,85.71428571428571
BOL,Bolivia,45.27157738095238,44.64657738095238,49.38988095238095,55.93377976190476,16.666666666666664,16.666666666666664,16.666666666666664,20.833333333333336,63.74999999999999,63.74999999999999,67.5,65,57.8125,55.3125,56.25,52.1875,42.857142857142854,42.857142857142854,57.14285714285714,85.71428571428571
BRA,Brazil,65.69568452380952,64.13318452380952,73.90252976190476,74.89211309523809,54.166666666666664,54.166666666666664,70.83333333333334,79.16666666666666,66.25,60,66.25,66.25,70.9375,70.9375,72.8125,68.4375,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
BRB,Barbados,25.755208333333332,24.973958333333332,24.427083333333332,NA,33.33333333333333,33.33333333333333,33.33333333333333,NA,32.5,32.5,32.5,NA,37.1875,34.0625,31.874999999999996,NA,0,0,0,NA
BRN,Brunei Darussalam,44.598214285714285,46.10863095238095,47.77529761904762,NA,37.5,41.66666666666667,45.83333333333333,NA,36.25,36.25,36.25,NA,47.5,49.375,51.87500000000001,NA,57.14285714285714,57.14285714285714,57.14285714285714,NA
BTN,Bhutan,40.92261904761905,42.17261904761905,42.71949404761905,47.57068452380952,20.833333333333336,20.833333333333336,20.833333333333336,16.666666666666664,46.25,46.25,52.5,52.5,53.75,58.75,54.6875,49.6875,42.857142857142854,42.857142857142854,42.857142857142854,71.42857142857143
BWA,Botswana,48.764880952380956,44.96279761904762,52.10565476190476,52.52232142857143,29.166666666666668,33.33333333333333,33.33333333333333,37.5,47.5,36.25,36.25,36.25,61.25000000000001,53.125,53.125,50.625,57.14285714285714,57.14285714285714,85.71428571428571,85.71428571428571
CAF,Central African Republic,17.760416666666668,16.822916666666664,20.394345238095234,19.873511904761905,16.666666666666664,16.666666666666664,16.666666666666664,20.833333333333336,27.500000000000004,23.75,23.75,20,26.875,26.875,26.875,24.375,0,0,14.285714285714285,14.285714285714285
CAN,Canada,86.61086309523809,86.14211309523809,89.71354166666666,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,69.0625,67.1875,67.1875,NA,85.71428571428571,85.71428571428571,100,NA
CHE,Switzerland,79.26339285714286,79.73214285714286,83.30357142857143,NA,75,75,75,NA,100,100,100,NA,70.625,72.5,72.5,NA,71.42857142857143,71.42857142857143,85.71428571428571,NA
CHL,Chile,69.34151785714286,70.74776785714286,81.22395833333334,81.58854166666666,62.5,62.5,70.83333333333334,79.16666666666666,66.25,70,75,75,77.1875,79.0625,79.0625,72.1875,71.42857142857143,71.42857142857143,100,100
CHN,China,58.61235119047619,59.34151785714286,58.19568452380952,59.41964285714286,45.83333333333333,50,54.166666666666664,62.5,48.75,48.75,42.5,42.5,68.4375,67.1875,64.6875,61.25000000000001,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143
CMR,Cameroon,40.78869047619047,38.91369047619048,37.663690476190474,40.37574404761905,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,43.75,38.75,35,35,57.49999999999999,55.00000000000001,53.75,50.31250000000001,28.57142857142857,28.57142857142857,28.57142857142857,42.857142857142854
COD,"Congo, Dem. Rep.",21.197916666666664,19.479166666666664,23.623511904761905,22.998511904761905,16.666666666666664,16.666666666666664,20.833333333333336,20.833333333333336,28.749999999999996,23.75,23.75,23.75,39.375,37.5,35.625,33.125,0,0,14.285714285714285,14.285714285714285
COG,"Congo, Rep.",30.807291666666668,28.098958333333336,29.404761904761905,28.779761904761905,29.166666666666668,20.833333333333336,20.833333333333336,20.833333333333336,45,45,38.75,38.75,49.0625,46.5625,43.75,41.25,0,0,14.285714285714285,14.285714285714285
COL,Colombia,78.125,76.171875,75.36458333333333,75.41666666666666,50,50,45.83333333333333,54.166666666666664,87.5,81.25,81.25,77.5,75,73.4375,74.375,70,100,100,100,100
COM,Comoros,20.755208333333336,20.755208333333336,28.314732142857142,32.30282738095238,20.833333333333336,20.833333333333336,25,29.166666666666668,23.75,23.75,30,30,38.4375,38.4375,29.6875,27.187499999999996,0,0,28.57142857142857,42.857142857142854
CPV,Cabo Verde,54.54985119047619,53.76860119047619,54.9702380952381,54.1108630952381,33.33333333333333,33.33333333333333,29.166666666666668,29.166666666666668,52.5,48.75,45,45,60.9375,61.5625,60,56.56250000000001,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
CRI,Costa Rica,76.14583333333334,79.27083333333334,80.98958333333334,80.625,58.333333333333336,70.83333333333334,70.83333333333334,75,61.25000000000001,61.25000000000001,66.25,66.25,85,85,86.875,81.25,100,100,100,100
CYP,Cyprus,72.79761904761905,73.26636904761905,81.21651785714286,NA,83.33333333333334,83.33333333333334,87.5,NA,100,100,100,NA,65,66.875,65.9375,NA,42.857142857142854,42.857142857142854,71.42857142857143,NA
CZE,Czech Republic,75.14136904761905,76.18303571428571,90.46875,NA,83.33333333333334,87.5,87.5,NA,100,100,100,NA,74.375,74.375,74.375,NA,42.857142857142854,42.857142857142854,100,NA
DEU,Germany,83.79464285714286,83.32589285714286,90.46875,NA,87.5,87.5,87.5,NA,100,100,100,NA,76.25,74.375,74.375,NA,71.42857142857143,71.42857142857143,100,NA
DJI,Djibouti,22.395833333333332,23.854166666666664,32.97619047619048,33.15848214285714,8.333333333333332,16.666666666666664,20.833333333333336,25,40,36.25,41.25,41.25,41.25,42.5,41.25,37.8125,0,0,28.57142857142857,28.57142857142857
DMA,Dominica,27.552083333333332,26.276041666666668,26.276041666666668,23.932291666666668,45.83333333333333,41.66666666666667,41.66666666666667,41.66666666666667,32.5,32.5,32.5,28.749999999999996,31.874999999999996,30.9375,30.9375,25.3125,0,0,0,0
DNK,Denmark,78.71279761904762,78.71279761904762,82.2842261904762,NA,83.33333333333334,83.33333333333334,83.33333333333334,NA,100,100,100,NA,74.375,74.375,74.375,NA,57.14285714285714,57.14285714285714,71.42857142857143,NA
