iso3c,country,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019
COM,Comoros,37.94117647058823,37.94117647058823,27.941176470588236,25.588235294117645
CPV,Cabo Verde,57.35294117647059,57.94117647058823,56.470588235294116,53.235294117647065
CRI,Costa Rica,80,80,81.76470588235294,76.47058823529412
CUB,Cuba,41.470588235294116,41.470588235294116,41.470588235294116,36.76470588235294
CUW,Curacao,29.41176470588235,29.41176470588235,27.05882352941176,22.941176470588236
CYM,Cayman Islands,23.529411764705884,23.529411764705884,23.529411764705884,18.823529411764707
CYP,Cyprus,61.1764705882353,62.94117647058823,62.05882352941177,59.705882352941174
CZE,Czech Republic,70,70,70,67.6470588235294
DEU,Germany,73.52941176470588,71.76470588235294,71.76470588235294,67.05882352941177
DJI,Djibouti,40.588235294117645,41.76470588235294,38.8235294117647,35.588235294117645
DMA,Dominica,29.999999999999996,29.11764705882353,29.11764705882353,23.823529411764707
DNK,Denmark,70,70,70,66.47058823529412
DOM,Dominican Republic,66.76470588235294,65.29411764705883,64.41176470588235,58.52941176470588
DZA,Algeria,51.470588235294116,50.588235294117645,42.94117647058823,39.411764705882355
ECU,Ecuador,80,80.88235294117646,80.88235294117646,76.76470588235294
EGY,"Egypt, Arab Rep.",61.470588235294116,58.52941176470588,55.88235294117647,51.76470588235295
ERI,Eritrea,11.176470588235293,7.647058823529412,7.647058823529412,5.2941176470588225
ESP,Spain,70,70,70,67.6470588235294
EST,Estonia,66.47058823529412,67.05882352941177,67.05882352941177,63.8235294117647
ETH,Ethiopia,61.76470588235294,58.23529411764706,58.23529411764706,55.58823529411764
FIN,Finland,70,70,70,67.6470588235294
FJI,Fiji,48.529411764705884,48.529411764705884,41.1764705882353,32.05882352941177
FRA,France,70,70,70,67.6470588235294
FRO,Faroe Islands,23.529411764705884,23.529411764705884,23.529411764705884,16.470588235294116
FSM,"Micronesia, Fed. Sts.",19.41176470588235,19.41176470588235,19.41176470588235,17.058823529411764
GAB,Gabon,41.1764705882353,42.05882352941177,37.94117647058823,27.35294117647059
GBR,United Kingdom,64.41176470588235,62.64705882352941,62.64705882352941,60.294117647058826
GEO,Georgia,81.76470588235294,80,81.76470588235294,79.41176470588235
GHA,Ghana,68.23529411764706,70.58823529411765,67.6470588235294,62.94117647058823
GIB,Gibraltar,11.764705882352942,11.764705882352942,11.764705882352942,9.411764705882353
GIN,Guinea,54.411764705882355,52.94117647058823,51.17647058823529,48.82352941176471
GMB,"Gambia, The",46.470588235294116,46.470588235294116,44.705882352941174,37.35294117647059
GNB,Guinea-Bissau,42.05882352941177,41.1764705882353,41.1764705882353,38.8235294117647
GNQ,Equatorial Guinea,35.294117647058826,25.294117647058822,25.294117647058822,22.941176470588236
GRC,Greece,66.47058823529412,68.23529411764706,68.23529411764706,65.88235294117646
GRD,Grenada,49.411764705882355,47.64705882352941,46.76470588235294,42.05882352941177
GRL,Greenland,29.41176470588235,29.41176470588235,29.41176470588235,24.705882352941178
GTM,Guatemala,74.11764705882354,73.23529411764706,71.76470588235294,66.76470588235294
GUM,Guam,23.529411764705884,23.529411764705884,23.529411764705884,21.176470588235293
