iso3c,country,SPI_2016,SPI_2017,SPI_2018,SPI_2019,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018,SPI.D1.MSC_2019,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
BRB,Barbados,35.20833333333333,33.125,31.041666666666664,NA,33.33333333333333,33.33333333333333,33.33333333333333,NA,32.5,32.5,32.5,NA,75,66.66666666666667,58.333333333333336,NA,0,0,0,NA
BRN,Brunei Darussalam,53.55654761904761,54.598214285714285,55.63988095238095,NA,37.5,41.66666666666667,45.83333333333333,NA,36.25,36.25,36.25,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,57.14285714285714,57.14285714285714,57.14285714285714,NA
BTN,Bhutan,45.61011904761905,45.61011904761905,51.339285714285715,NA,20.833333333333336,20.833333333333336,20.833333333333336,16.666666666666664,43.75,43.75,50,50,75,75,91.66666666666667,NA,42.857142857142854,42.857142857142854,42.857142857142854,71.42857142857143
BWA,Botswana,55.223214285714285,49.285714285714285,56.42857142857143,NA,29.166666666666668,33.33333333333333,33.33333333333333,37.5,51.24999999999999,40,40,40,83.33333333333333,66.66666666666667,66.66666666666667,NA,57.14285714285714,57.14285714285714,85.71428571428571,85.71428571428571
CAF,Central African Republic,22.1875,25.208333333333336,28.779761904761905,NA,16.666666666666664,16.666666666666664,16.666666666666664,20.833333333333336,13.750000000000002,17.5,17.5,13.750000000000002,58.333333333333336,66.66666666666667,66.66666666666667,NA,0,0,14.285714285714285,14.285714285714285
CAN,Canada,88.09523809523809,88.09523809523809,91.66666666666666,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,75,75,75,NA,85.71428571428571,85.71428571428571,100,NA
CHE,Switzerland,82.44047619047619,82.44047619047619,86.01190476190476,NA,75,75,75,NA,100,100,100,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,71.42857142857143,71.42857142857143,85.71428571428571,NA
CHL,Chile,72.85714285714286,74.10714285714286,81.77083333333334,NA,62.5,62.5,70.83333333333334,79.16666666666666,57.49999999999999,62.5,56.25,56.25,100,100,100,NA,71.42857142857143,71.42857142857143,100,100
CHN,China,63.27380952380952,64.31547619047619,65.35714285714286,NA,45.83333333333333,50,54.166666666666664,62.5,52.5,52.5,52.5,52.5,83.33333333333333,83.33333333333333,83.33333333333333,NA,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143
CMR,Cameroon,46.51785714285714,44.64285714285714,40.47619047619047,NA,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,32.5,25,25,28.749999999999996,91.66666666666667,91.66666666666667,75,NA,28.57142857142857,28.57142857142857,28.57142857142857,42.857142857142854
