iso3c,country,NABY_2016,NABY_2017,NABY_2018,NABY_2019,SPI.D1.2.NABY_2016,SPI.D1.2.NABY_2017,SPI.D1.2.NABY_2018,SPI.D1.2.NABY_2019
MLT,Malta,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
MHL,Marshall Islands,2004,2004,2004,2004,0,0,0,0
MRT,Mauritania,2004,2004,2004,2004,0,0,0,0
MUS,Mauritius,2006,2006,2006,2006,0.5,0,0,0
MEX,Mexico,2008,2008,2013,2013,0.5,0.5,0.5,0.5
FSM,"Micronesia, Fed. Sts.",2004,2004,2004,2004,0,0,0,0
MDA,Moldova,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
MNG,Mongolia,2010,2010,2010,2010,0.5,0.5,0.5,0.5
MNE,Montenegro,2000,2000,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,0,0,1,1
MAR,Morocco,2007,2007,2007,2007,0.5,0.5,0,0
MOZ,Mozambique,2009,2009,2009,2009,0.5,0.5,0.5,0.5
MMR,Myanmar,2006,2010,2010,2010,0.5,0.5,0.5,0.5
NAM,Namibia,2010,2010,2010,2010,0.5,0.5,0.5,0.5
NRU,Nauru,0,2007,2007,2007,0,0.5,0,0
NPL,Nepal,2001,2001,2001,2001,0,0,0,0
NLD,Netherlands,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
NZL,New Zealand,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
NIC,Nicaragua,2006,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,0.5,1,1,1
NER,Niger,2006,2006,2006,2006,0.5,0,0,0
NGA,Nigeria,2010,2010,2010,2010,0.5,0.5,0.5,0.5
NOR,Norway,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
OMN,Oman,2010,2010,2010,NA,0.5,0.5,0.5,NA
PAK,Pakistan,2006,2006,2006,2006,0.5,0,0,0
PLW,Palau,2005,2005,2015,2015,0,0,0.5,0.5
PAN,Panama,2007,2007,2007,Original chained constant price data are rescaled.,0.5,0.5,0,1
PNG,Papua New Guinea,1998,1998,2013,2013,0,0,0.5,0.5
PRY,Paraguay,1994,1994,1994,2014,0,0,0,0.5
PER,Peru,2007,2007,2007,2007,0.5,0.5,0,0
PHL,Philippines,2000,2000,2000,2000,0,0,0,0
POL,Poland,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
PRT,Portugal,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
QAT,Qatar,2013,2013,2013,NA,0.5,0.5,0.5,NA
ROU,Romania,2005,2005,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,0,0,1,1
RUS,Russian Federation,2011,2011,2016,Original chained constant price data are rescaled.,0.5,0.5,0.5,1
RWA,Rwanda,2011,2014,2014,2014,0.5,0.5,0.5,0.5
WSM,Samoa,2009,2009,2009,2009,0.5,0.5,0.5,0.5
SMR,San Marino,1990,1990,2007,NA,0,0,0,NA
NA,São Tomé and Principe,2001,2008,2008,2008,0,0.5,0.5,0
SAU,Saudi Arabia,2010,2010,2010,NA,0.5,0.5,0.5,NA
SEN,Senegal,1999,1999,1999,2014,0,0,0,0.5
SRB,Serbia,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
SYC,Seychelles,2006,2006,2006,2006,0.5,0,0,0
SLE,Sierra Leone,2006,2006,2006,2006,0.5,0,0,0
SGP,Singapore,2010,2010,2010,NA,0.5,0.5,0.5,NA
SVK,Slovak Republic,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
SVN,Slovenia,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
SLB,Solomon Islands,2004,2004,2004,2004,0,0,0,0
SOM,Somalia,1985,1985,1985,NA,0,0,0,0
ZAF,South Africa,2010,2010,2010,2010,0.5,0.5,0.5,0.5
SSD,South Sudan,2009,2009,2009,2009,0.5,0.5,0.5,0.5
ESP,Spain,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
LKA,Sri Lanka,2010,2010,2010,2010,0.5,0.5,0.5,0.5
KNA,St. Kitts and Nevis,2006,2006,2006,2006,0.5,0,0,0
LCA,St. Lucia,2006,2006,2006,2006,0.5,0,0,0
VCT,St. Vincent and the Grenadines,2006,2006,2006,2006,0.5,0,0,0
SDN,Sudan,1982,1982,1996,1996,0,0,0,0
SUR,Suriname,2007,2007,2007,2007,0.5,0.5,0,0
SWE,Sweden,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
CHE,Switzerland,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
SYR,Syrian Arab Republic,2000,2000,2000,2000,0,0,0,0
TJK,Tajikistan,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
TZA,Tanzania,2007,2007,2007,2015,0.5,0.5,0,0.5
THA,Thailand,2002,2002,2002,2002,0,0,0,0
TLS,Timor-Leste,2010,2010,2015,2015,0.5,0.5,0.5,0.5
TGO,Togo,2000,2000,2000,2007,0,0,0,0
TON,Tonga,2011,2011,2011,2011,0.5,0.5,0.5,0.5
TTO,Trinidad and Tobago,2000,2000,2012,2012,0,0,0.5,0.5
TUN,Tunisia,2010,2010,2010,2010,0.5,0.5,0.5,0.5
TUR,Turkey,1998,1998,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,0,0,1,1
TKM,Turkmenistan,2005,2005,2005,Original chained constant price data are rescaled.,0,0,0,1
TUV,Tuvalu,2005,2005,2005,2005,0,0,0,0
UGA,Uganda,2010,2010,2010,2010,0.5,0.5,0.5,0.5
UKR,Ukraine,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
ARE,United Arab Emirates,2007,2010,2010,NA,0.5,0.5,0.5,NA
GBR,United Kingdom,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
USA,United States,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
URY,Uruguay,2005,2005,2005,2005,0,0,0,0
UZB,Uzbekistan,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
VUT,Vanuatu,2006,2006,2006,2006,0.5,0,0,0
VEN,"Venezuela, RB",1997,1997,1997,1997,0,0,0,0
VNM,Vietnam,2010,2010,2010,2010,0.5,0.5,0.5,0.5
NA,West Bank nad Gaza,2004,2004,2015,2015,0,0,0.5,0.5
YEM,"Yemen, Rep.",1990,1990,1990,1990,0,0,0,0
ZMB,Zambia,2010,2010,2010,2010,0.5,0.5,0.5,0.5
ZWE,Zimbabwe,2009,2009,2009,2012,0.5,0.5,0.5,0.5
