iso3c,country,date,NABY
MEX,Mexico,2018,2013
MHL,Marshall Islands,2016,2004
MHL,Marshall Islands,2017,2004
MHL,Marshall Islands,2018,2004
MKD,"Macedonia, FYR",2016,2005
MKD,"Macedonia, FYR",2017,2005
MKD,"Macedonia, FYR",2018,2005
MLI,Mali,2016,1999
MLI,Mali,2017,1999
MLI,Mali,2018,1999
MLT,Malta,2016,Original chained constant price data are rescaled.
MLT,Malta,2017,Original chained constant price data are rescaled.
MLT,Malta,2018,Original chained constant price data are rescaled.
MMR,Myanmar,2016,2006
MMR,Myanmar,2017,2010
MMR,Myanmar,2018,2010
MNE,Montenegro,2016,2000
MNE,Montenegro,2017,2000
MNE,Montenegro,2018,Original chained constant price data are rescaled.
MNG,Mongolia,2016,2010
MNG,Mongolia,2017,2010
MNG,Mongolia,2018,2010
MOZ,Mozambique,2016,2009
MOZ,Mozambique,2017,2009
MOZ,Mozambique,2018,2009
MRT,Mauritania,2016,2004
MRT,Mauritania,2017,2004
MRT,Mauritania,2018,2004
MUS,Mauritius,2016,2006
MUS,Mauritius,2017,2006
MUS,Mauritius,2018,2006
MWI,Malawi,2016,2010
MWI,Malawi,2017,2010
MWI,Malawi,2018,2010
MYS,Malaysia,2016,2010
MYS,Malaysia,2017,2010
MYS,Malaysia,2018,2010
NAM,Namibia,2016,2010
NAM,Namibia,2017,2010
NAM,Namibia,2018,2010
NER,Niger,2016,2006
NER,Niger,2017,2006
NER,Niger,2018,2006
NGA,Nigeria,2016,2010
NGA,Nigeria,2017,2010
NGA,Nigeria,2018,2010
NIC,Nicaragua,2016,2006
NIC,Nicaragua,2017,Original chained constant price data are rescaled.
NIC,Nicaragua,2018,Original chained constant price data are rescaled.
NLD,Netherlands,2016,Original chained constant price data are rescaled.
NLD,Netherlands,2017,Original chained constant price data are rescaled.
NLD,Netherlands,2018,Original chained constant price data are rescaled.
NOR,Norway,2016,Original chained constant price data are rescaled.
NOR,Norway,2017,Original chained constant price data are rescaled.
NOR,Norway,2018,Original chained constant price data are rescaled.
NPL,Nepal,2016,2001
NPL,Nepal,2017,2001
NPL,Nepal,2018,2001
NRU,Nauru,2016,0
NRU,Nauru,2017,2007
NRU,Nauru,2018,2007
NZL,New Zealand,2016,Original chained constant price data are rescaled.
NZL,New Zealand,2017,Original chained constant price data are rescaled.
NZL,New Zealand,2018,Original chained constant price data are rescaled.
OMN,Oman,2016,2010
OMN,Oman,2017,2010
OMN,Oman,2018,2010
PAK,Pakistan,2016,2006
PAK,Pakistan,2017,2006
PAK,Pakistan,2018,2006
PAN,Panama,2016,2007
PAN,Panama,2017,2007
PAN,Panama,2018,2007
PER,Peru,2016,2007
PER,Peru,2017,2007
PER,Peru,2018,2007
PHL,Philippines,2016,2000
PHL,Philippines,2017,2000
PHL,Philippines,2018,2000
PLW,Palau,2016,2005
PLW,Palau,2017,2005
PLW,Palau,2018,2015
PNG,Papua New Guinea,2016,1998
PNG,Papua New Guinea,2017,1998
PNG,Papua New Guinea,2018,2013
POL,Poland,2016,Original chained constant price data are rescaled.
POL,Poland,2017,Original chained constant price data are rescaled.
POL,Poland,2018,Original chained constant price data are rescaled.
PRT,Portugal,2016,Original chained constant price data are rescaled.
PRT,Portugal,2017,Original chained constant price data are rescaled.
PRT,Portugal,2018,Original chained constant price data are rescaled.
PRY,Paraguay,2016,1994
PRY,Paraguay,2017,1994
PRY,Paraguay,2018,1994
PSE,West Bank nad Gaza,2016,2004
PSE,West Bank nad Gaza,2017,2004
PSE,West Bank nad Gaza,2018,2015
QAT,Qatar,2016,2013
QAT,Qatar,2017,2013
QAT,Qatar,2018,2013
ROU,Romania,2016,2005
ROU,Romania,2017,2005
ROU,Romania,2018,Original chained constant price data are rescaled.
RUS,Russian Federation,2016,2011
RUS,Russian Federation,2017,2011
RUS,Russian Federation,2018,2016
RWA,Rwanda,2016,2011
RWA,Rwanda,2017,2014
RWA,Rwanda,2018,2014
SAU,Saudi Arabia,2016,2010
SAU,Saudi Arabia,2017,2010
SAU,Saudi Arabia,2018,2010
SDN,Sudan,2016,1982
SDN,Sudan,2017,1982
SDN,Sudan,2018,1996
SEN,Senegal,2016,1999
SEN,Senegal,2017,1999
SEN,Senegal,2018,1999
SGP,Singapore,2016,2010
SGP,Singapore,2017,2010
SGP,Singapore,2018,2010
SLB,Solomon Islands,2016,2004
SLB,Solomon Islands,2017,2004
SLB,Solomon Islands,2018,2004
SLE,Sierra Leone,2016,2006
SLE,Sierra Leone,2017,2006
SLE,Sierra Leone,2018,2006
SLV,El Salvador,2016,1990
SLV,El Salvador,2017,1990
SLV,El Salvador,2018,2005
SMR,San Marino,2016,1990
SMR,San Marino,2017,1990
SMR,San Marino,2018,2007
SOM,Somalia,2016,1985
SOM,Somalia,2017,1985
SOM,Somalia,2018,1985
SRB,Serbia,2016,Original chained constant price data are rescaled.
SRB,Serbia,2017,Original chained constant price data are rescaled.
SRB,Serbia,2018,Original chained constant price data are rescaled.
SSD,South Sudan,2016,2009
SSD,South Sudan,2017,2009
SSD,South Sudan,2018,2009
STP,São Tomé and Principe,2016,2001
STP,São Tomé and Principe,2017,2008
STP,São Tomé and Principe,2018,2008
SUR,Suriname,2016,2007
SUR,Suriname,2017,2007
SUR,Suriname,2018,2007
SVK,Slovak Republic,2016,Original chained constant price data are rescaled.
SVK,Slovak Republic,2017,Original chained constant price data are rescaled.
SVK,Slovak Republic,2018,Original chained constant price data are rescaled.
SVN,Slovenia,2016,Original chained constant price data are rescaled.
SVN,Slovenia,2017,Original chained constant price data are rescaled.
SVN,Slovenia,2018,Original chained constant price data are rescaled.
SWE,Sweden,2016,Original chained constant price data are rescaled.
SWE,Sweden,2017,Original chained constant price data are rescaled.
SWE,Sweden,2018,Original chained constant price data are rescaled.
SWZ,Eswatini,2016,2011
SWZ,Eswatini,2017,2011
SWZ,Eswatini,2018,2011
SYC,Seychelles,2016,2006
SYC,Seychelles,2017,2006
SYC,Seychelles,2018,2006
SYR,Syrian Arab Republic,2016,2000
SYR,Syrian Arab Republic,2017,2000
SYR,Syrian Arab Republic,2018,2000
TCD,Chad,2016,2005
TCD,Chad,2017,2005
TCD,Chad,2018,2005
TGO,Togo,2016,2000
TGO,Togo,2017,2000
TGO,Togo,2018,2000
THA,Thailand,2016,2002
THA,Thailand,2017,2002
THA,Thailand,2018,2002
TJK,Tajikistan,2016,Original chained constant price data are rescaled.
TJK,Tajikistan,2017,Original chained constant price data are rescaled.
TJK,Tajikistan,2018,Original chained constant price data are rescaled.
TKM,Turkmenistan,2016,2005
TKM,Turkmenistan,2017,2005
TKM,Turkmenistan,2018,2005
TLS,Timor-Leste,2016,2010
TLS,Timor-Leste,2017,2010
TLS,Timor-Leste,2018,2015
TON,Tonga,2016,2011
TON,Tonga,2017,2011
TON,Tonga,2018,2011
TTO,Trinidad and Tobago,2016,2000
TTO,Trinidad and Tobago,2017,2000
TTO,Trinidad and Tobago,2018,2012
TUN,Tunisia,2016,2010
TUN,Tunisia,2017,2010
TUN,Tunisia,2018,2010
TUR,Turkey,2016,1998
TUR,Turkey,2017,1998
TUR,Turkey,2018,Original chained constant price data are rescaled.
TUV,Tuvalu,2016,2005
TUV,Tuvalu,2017,2005
TUV,Tuvalu,2018,2005
TZA,Tanzania,2016,2007
TZA,Tanzania,2017,2007
TZA,Tanzania,2018,2007
UGA,Uganda,2016,2010
UGA,Uganda,2017,2010
UGA,Uganda,2018,2010
UKR,Ukraine,2016,Original chained constant price data are rescaled.
UKR,Ukraine,2017,Original chained constant price data are rescaled.
UKR,Ukraine,2018,Original chained constant price data are rescaled.
URY,Uruguay,2016,2005
URY,Uruguay,2017,2005
URY,Uruguay,2018,2005
USA,United States,2016,Original chained constant price data are rescaled.
USA,United States,2017,Original chained constant price data are rescaled.
USA,United States,2018,Original chained constant price data are rescaled.
UZB,Uzbekistan,2016,Original chained constant price data are rescaled.
UZB,Uzbekistan,2017,Original chained constant price data are rescaled.
UZB,Uzbekistan,2018,Original chained constant price data are rescaled.
VCT,St. Vincent and the Grenadines,2016,2006
VCT,St. Vincent and the Grenadines,2017,2006
VCT,St. Vincent and the Grenadines,2018,2006
VEN,"Venezuela, RB",2016,1997
VEN,"Venezuela, RB",2017,1997
VEN,"Venezuela, RB",2018,1997
VNM,Vietnam,2016,2010
VNM,Vietnam,2017,2010
VNM,Vietnam,2018,2010
VUT,Vanuatu,2016,2006
VUT,Vanuatu,2017,2006
VUT,Vanuatu,2018,2006
WSM,Samoa,2016,2009
WSM,Samoa,2017,2009
WSM,Samoa,2018,2009
XKX,Kosovo,2016,2008
XKX,Kosovo,2017,2008
XKX,Kosovo,2018,2008
YEM,"Yemen, Rep.",2016,1990
YEM,"Yemen, Rep.",2017,1990
YEM,"Yemen, Rep.",2018,1990
ZAF,South Africa,2016,2010
ZAF,South Africa,2017,2010
ZAF,South Africa,2018,2010
ZMB,Zambia,2016,2010
ZMB,Zambia,2017,2010
ZMB,Zambia,2018,2010
ZWE,Zimbabwe,2016,2009
ZWE,Zimbabwe,2017,2009
ZWE,Zimbabwe,2018,2009
