iso3c,country,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019
NER,Niger,50,46.666666666666664,40,33.333333333333336
NGA,Nigeria,60,60,60,53.333333333333336
NIC,Nicaragua,60,60,53.333333333333336,46.666666666666664
NLD,Netherlands,66.66666666666667,66.66666666666667,66.66666666666667,60
NOR,Norway,63.333333333333336,63.333333333333336,63.333333333333336,56.666666666666664
NPL,Nepal,46.666666666666664,46.666666666666664,46.666666666666664,40
NRU,Nauru,20,13.333333333333334,13.333333333333334,0
NZL,New Zealand,56.666666666666664,56.666666666666664,53.333333333333336,43.333333333333336
OMN,Oman,36.666666666666664,36.666666666666664,36.666666666666664,30
PAK,Pakistan,46.666666666666664,43.333333333333336,50,40
PAN,Panama,46.666666666666664,46.666666666666664,46.666666666666664,30
PER,Peru,63.333333333333336,60,60,53.333333333333336
PHL,Philippines,76.66666666666667,66.66666666666667,63.333333333333336,56.666666666666664
PLW,Palau,26.666666666666668,26.666666666666668,26.666666666666668,20
PNG,Papua New Guinea,26.666666666666668,26.666666666666668,26.666666666666668,20
POL,Poland,66.66666666666667,66.66666666666667,66.66666666666667,60
PRI,Puerto Rico,40,40,40,33.333333333333336
PRK,"Korea, Dem. People’s Rep.",13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667
PRT,Portugal,66.66666666666667,66.66666666666667,66.66666666666667,60
PRY,Paraguay,63.333333333333336,63.333333333333336,66.66666666666667,60
PSE,West Bank and Gaza,46.666666666666664,43.333333333333336,43.333333333333336,36.666666666666664
PYF,French Polynesia,6.666666666666667,6.666666666666667,6.666666666666667,0
QAT,Qatar,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664
ROU,Romania,80,80,80,73.33333333333333
RUS,Russian Federation,80,80,80,70
RWA,Rwanda,43.333333333333336,43.333333333333336,50,40
SAU,Saudi Arabia,33.333333333333336,33.333333333333336,40,33.333333333333336
SDN,Sudan,26.666666666666668,26.666666666666668,26.666666666666668,20
SEN,Senegal,36.666666666666664,36.666666666666664,36.666666666666664,26.666666666666668
SGP,Singapore,60,60,60,53.333333333333336
SLB,Solomon Islands,20,20,20,13.333333333333334
SLE,Sierra Leone,50,46.666666666666664,46.666666666666664,40
SLV,El Salvador,66.66666666666667,63.333333333333336,60,53.333333333333336
SMR,San Marino,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334
SOM,Somalia,13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667
SRB,Serbia,80,80,80,73.33333333333333
SSD,South Sudan,20,20,20,0
STP,Sao Tome and Principe,26.666666666666668,26.666666666666668,26.666666666666668,20
SUR,Suriname,23.333333333333332,23.333333333333332,30,13.333333333333334
SVK,Slovak Republic,66.66666666666667,66.66666666666667,66.66666666666667,60
SVN,Slovenia,56.666666666666664,60,56.666666666666664,50
SWE,Sweden,66.66666666666667,66.66666666666667,66.66666666666667,60
SWZ,Eswatini,33.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668
SXM,Sint Maarten (Dutch part),13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667
SYC,Seychelles,43.333333333333336,43.333333333333336,43.333333333333336,36.666666666666664
SYR,Syrian Arab Republic,6.666666666666667,6.666666666666667,6.666666666666667,0
TCA,Turks and Caicos Islands,13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667
TCD,Chad,30,26.666666666666668,26.666666666666668,20
TGO,Togo,50,46.666666666666664,46.666666666666664,40
THA,Thailand,66.66666666666667,66.66666666666667,66.66666666666667,60
TJK,Tajikistan,50,50,50,43.333333333333336
TKM,Turkmenistan,26.666666666666668,26.666666666666668,26.666666666666668,20
TLS,Timor-Leste,33.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668
TON,Tonga,26.666666666666668,26.666666666666668,26.666666666666668,20
